Назва,Необхідні заходи,Послання на зовнішнє джерело,Необхідні дії до,Статус
Звільнення об’єктів «Укрбуд» від нарахування пайової участі,Дякую всім хто був!,https://kmr.gov.ua/uk/content/proekt-rishennya-kyyivskoyi-miskoyi-rady-16943,23.07.2020 9:00,"Прийнято
"
"Федот і Укрбуд продовжують свої ігри. Вони далі намагаються перешкодити будівництву. Щойно приїхала на наш ЖК бригада ДТЕК і хочуть відключити електроенергію під приводом задимлення. Ніякого задимлення не було.

Прохання під'їхати на ЖК прямо зараз щоб запобігти відключення нашого ЖК від електроенергії і припиненні будівництва.",Поки не треба сьогодні вже наче ок,,17.08.2020 15:31,Восстановили в аварийном режиме от АТП
